experiment,image_name,r2_total,r2_per_task,rmse,chamfer_distance,train_time,train_samples,test_samples
mixed_matern_rank1,000016.png,0.75955093353218,[0.9948307  0.99789685 0.93757827 0.60436004 0.51829692 0.50434282],0.12569784408096665,0.1986768884481413,239.88323092460632,1075,269
mixed_matern_rank1,000093.png,0.7014577683818347,[0.97055845 0.8484435  0.56631842 0.63734647 0.5605573  0.62552247],0.1350784726037973,0.18990039059349956,232.71280217170715,1065,267
mixed_matern_rank3,000094.png,0.7716297766158996,[0.99837822 0.9973844  0.96235678 0.59276502 0.56176385 0.51713038],0.12718119121320356,0.21072418735439194,290.8572449684143,1168,292
mixed_matern_rank3,000000.png,0.5273589662380044,[0.70250235 0.99456553 0.45218367 0.45807885 0.16357165 0.39325174],0.07834071503947808,0.14434130580158464,560.1099469661713,1104,276
mixed_matern_rank3,000016.png,0.7574339036423775,[0.9974599  0.9931004  0.93501262 0.60595194 0.5231573  0.48992126],0.12594945927141116,0.20993162270663773,257.61159920692444,1075,269
mixed_matern_rank3,000093.png,0.7095829286095924,[0.97471468 0.85233285 0.57999859 0.64306009 0.5714451  0.63594626],0.13351660058551484,0.19405127155754803,254.19532799720764,1065,267
matern25_wendland_rank3,000094.png,0.7769841815019854,[0.99942423 0.99910054 0.96205714 0.58276964 0.55365377 0.56489977],0.12584646898534205,0.1932889147416097,314.6477439403534,1168,292
matern25_wendland_rank3,000000.png,0.5383726250110734,[0.73591148 0.99527346 0.4730747  0.40144655 0.20832474 0.4162048 ],0.07774731467706311,0.14392492398019416,287.80738615989685,1104,276
matern25_wendland_rank3,000016.png,0.7524537072852437,[0.9986345  0.99788821 0.93307727 0.6109481  0.52868785 0.44548631],0.12667840121503665,0.21725831439776394,274.62612795829773,1075,269
matern25_wendland_rank3,000093.png,0.701334283491993,[0.97298204 0.85303568 0.56857201 0.6475528  0.5559257  0.60993748],0.13506965036466012,0.18916966665763887,270.81263303756714,1065,267
